RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR,Year
19,19,Keith Mitchell,91,69.19,119,172,-0.21,2022
20,20,Sam Burns,84,68.75,110,160,-0.22,2022
21,21,Charley Hoffman,75,68.46,89,130,-0.30,2022
22,22,Cam Davis,86,68.29,112,164,-0.23,2022
23,23,Kurt Kitayama,74,67.14,94,140,-0.17,2022
T24,T24,Scottie Scheffler,95,66.67,112,168,-0.24,2022
T24,T24,Brendan Steele,77,66.67,92,138,-0.24,2022
26,26,Seth Reeves,71,66.42,89,134,-0.15,2022
27,27,Kevin Tway,83,66.23,102,154,-0.18,2022
28,28,Paul Barjon,75,66.2,94,142,-0.23,2022
T29,T29,Keegan Bradley,87,65.79,100,152,-0.25,2022
T29,T29,Joaquin Niemann,84,65.79,100,152,-0.07,2022
31,31,Tony Finau,89,65.7,113,172,-0.28,2022
32,32,Curtis Thompson,70,65.63,84,128,-0.27,2022
33,33,Brooks Koepka,51,65.22,60,92,-0.12,2022
34,34,Aaron Wise,86,65.12,112,172,-0.25,2022
35,35,Patrick Rodgers,89,64.71,110,170,-0.33,2022
36,36,Shane Lowry,65,64.66,75,116,-0.21,2022
37,37,Kevin Chappell,63,64.55,71,110,-0.25,2022
T38,T38,Beau Hossler,72,64.29,90,140,-0.13,2022
T38,T38,Viktor Hovland,77,64.29,90,140,-0.17,2022
40,40,Patrick Cantlay,75,63.97,87,136,-0.26,2022
41,41,Lucas Herbert,59,63.89,69,108,-0.12,2022
42,42,Davis Riley,98,63.83,120,188,-0.23,2022
43,43,Alex Smalley,95,62.9,117,186,-0.26,2022
44,44,Jordan Spieth,77,62.84,93,148,-0.23,2022
45,45,Rickie Fowler,71,62.69,84,134,-0.10,2022
46,46,Hudson Swafford,64,62.5,80,128,-0.35,2022
47,47,Nick Hardy,67,61.86,73,118,-0.25,2022
48,48,Xander Schauffele,79,61.76,84,136,-0.24,2022
49,49,Harold Varner III,76,61.59,85,138,-0.21,2022
50,50,Emiliano Grillo,86,60.63,97,160,-0.24,2022
51,51,Maverick McNealy,97,60.12,101,168,-0.22,2022
52,52,Patton Kizzire,92,60.0,108,180,-0.24,2022
53,53,Adam Schenk,94,59.88,103,172,-0.13,2022
54,54,Jason Kokrak,64,59.84,73,122,-0.29,2022
55,55,Stewart Cink,77,59.74,92,154,-0.13,2022
56,56,Hideki Matsuyama,72,59.56,81,136,-0.27,2022
57,57,Max Homa,89,59.15,97,164,-0.26,2022
58,58,Dylan Frittelli,93,59.14,110,186,-0.25,2022
59,59,Marc Leishman,79,59.03,85,144,-0.05,2022
60,60,Matt Jones,61,58.77,67,114,-0.34,2022
61,61,Ryan Palmer,71,58.73,74,126,-0.16,2022
62,62,Tyrrell Hatton,72,58.59,75,128,-0.12,2022
63,63,Talor Gooch,78,58.45,83,142,-0.33,2022
64,64,Sahith Theegala,115,58.41,132,226,-0.32,2022
65,65,Martin Trainer,84,58.33,91,156,-0.19,2022
66,66,Austin Smotherman,83,57.79,89,154,-0.33,2022
67,67,Mito Pereira,90,57.3,102,178,-0.19,2022
68,68,Sungjae Im,95,56.82,100,176,-0.23,2022
69,69,Matt Fitzpatrick,73,56.43,79,140,-0.28,2022
70,70,James Hahn,79,55.97,75,134,-0.17,2022
71,71,Vince Whaley,91,55.88,95,170,-0.27,2022
T72,T72,Garrick Higgo,62,55.56,60,108,-0.23,2022
T72,T72,Charles Howell III,54,55.56,60,108,-0.33,2022
74,74,Carlos Ortiz,61,55.08,65,118,-0.20,2022
T75,T75,Tommy Fleetwood,61,54.81,57,104,-0.26,2022
T75,T75,Matt Wallace,60,54.81,57,104,-0.18,2022
77,77,Nick Watney,80,54.61,83,152,-0.14,2022
78,78,David Skinns,70,54.55,72,132,-0.18,2022
79,79,Sebastián Muñoz,86,54.43,86,158,-0.26,2022
80,80,Michael Gligic,79,54.23,77,142,-0.14,2022
81,81,Robert Streb,87,53.8,85,158,-0.28,2022
82,82,Collin Morikawa,68,53.57,60,112,-0.07,2022
83,83,Taylor Moore,92,52.98,89,168,-0.18,2022
84,84,Corey Conners,94,52.87,92,174,-0.33,2022
85,85,Sepp Straka,103,52.66,99,188,-0.11,2022
86,86,Scott Stallings,98,52.6,101,192,-0.20,2022
87,87,Alex Noren,73,52.5,63,120,-0.25,2022
88,88,Si Woo Kim,101,52.13,98,188,-0.26,2022
89,89,Lanto Griffin,78,50.68,75,148,-0.19,2022
90,90,Cameron Tringale,99,50.57,89,176,-0.24,2022
T91,T91,Jim Knous,57,50.0,51,102,-0.16,2022
T91,T91,Cameron Smith,66,50.0,62,124,-0.19,2022
93,93,K.H. Lee,98,49.47,93,188,-0.18,2022
94,94,Chesson Hadley,86,49.34,75,152,-0.17,2022
95,95,Jason Day,61,49.12,56,114,-0.27,2022
96,96,Harry Higgs,86,48.68,74,152,-0.15,2022
97,97,Lee Hodges,95,48.39,90,186,-0.27,2022
98,98,Bill Haas,98,48.26,83,172,-0.23,2022
99,99,Seamus Power,85,48.08,75,156,-0.29,2022
T100,T100,Matthew NeSmith,96,47.73,84,176,-0.30,2022
T100,T100,Erik van Rooyen,51,47.73,42,88,-0.21,2022
102,102,Chris Kirk,88,47.5,76,160,-0.28,2022
103,103,Hayden Buckley,93,47.25,86,182,-0.16,2022
104,104,Danny Lee,54,47.12,49,104,-0.47,2022
105,105,Seung-Yul Noh,69,46.83,59,126,-0.36,2022
106,106,Scott Gutschewski,62,46.43,52,112,-0.25,2022
107,107,Justin Rose,61,46.3,50,108,-0.30,2022
108,108,Jonas Blixt,52,46.0,46,100,-0.09,2022
109,109,Abraham Ancer,63,45.69,53,116,-0.38,2022
110,110,Wesley Bryan,53,45.56,41,90,-0.20,2022
111,111,Peter Malnati,103,45.45,90,198,-0.33,2022
112,112,Anirban Lahiri,72,45.14,65,144,-0.20,2022
113,113,Webb Simpson,62,44.92,53,118,-0.34,2022
T114,T114,Russell Henley,81,44.87,70,156,-0.31,2022
T114,T114,C.T. Pan,82,44.87,70,156,-0.13,2022
116,116,Martin Laird,72,44.7,59,132,-0.32,2022
117,117,J.T. Poston,90,44.32,78,176,-0.32,2022
118,118,Roger Sloan,75,44.2,61,138,-0.21,2022
119,119,Andrew Novak,78,44.08,67,152,-0.16,2022
120,120,Dylan Wu,73,44.03,59,134,-0.19,2022
121,121,Bo Hoag,55,43.88,43,98,-0.14,2022
122,122,Danny Willett,66,43.55,54,124,-0.22,2022
123,123,Greyson Sigg,96,42.78,77,180,-0.35,2022
124,124,Kramer Hickok,91,42.53,74,174,-0.18,2022
125,125,Scott Piercy,85,41.56,64,154,-0.38,2022
126,126,Stephan Jaeger,93,41.18,70,170,-0.14,2022
127,127,Dawie van der Walt,66,41.13,51,124,-0.14,2022
128,128,Mackenzie Hughes,85,41.03,64,156,-0.14,2022
129,129,Aaron Rai,93,41.01,73,178,-0.27,2022
130,130,Lucas Glover,95,40.86,76,186,-0.16,2022
T131,T131,Branden Grace,56,40.63,39,96,-0.15,2022
T131,T131,Hank Lebioda,86,40.63,65,160,-0.26,2022
133,133,Kiradech Aphibarnrat,59,40.57,43,106,-0.16,2022
134,134,Brett Drewitt,62,40.52,47,116,-0.17,2022
135,135,Justin Lower,80,40.28,58,144,-0.22,2022
136,136,Tyler Duncan,86,40.24,66,164,-0.14,2022
137,137,Tom Hoge,101,40.22,74,184,-0.09,2022
138,138,Nick Taylor,88,39.77,70,176,-0.24,2022
139,139,Adam Hadwin,92,39.44,71,180,-0.31,2022
140,140,Kevin Streelman,88,39.2,69,176,-0.30,2022
141,141,Brice Garnett,83,38.96,60,154,-0.33,2022
142,142,Richy Werenski,69,38.89,49,126,-0.18,2022
143,143,Doug Ghim,90,38.75,62,160,-0.39,2022
144,144,Francesco Molinari,53,38.68,41,106,-0.10,2022
145,145,Doc Redman,85,38.67,58,150,-0.24,2022
146,146,Matthias Schwab,76,38.57,54,140,-0.15,2022
147,147,Adam Svensson,102,38.5,77,200,-0.18,2022
T148,T148,Sung Kang,86,37.5,57,152,-0.44,2022
T148,T148,Sam Ryder,92,37.5,63,168,-0.24,2022
150,150,Billy Horschel,78,37.14,52,140,-0.10,2022
151,151,Brandon Wu,78,36.49,54,148,-0.41,2022
152,152,Joel Dahmen,89,36.47,62,170,-0.15,2022
153,153,Jim Herman,53,36.27,37,102,-0.16,2022
T154,T154,Jonathan Byrd,61,35.96,41,114,-0.32,2022
T154,T154,Russell Knox,93,35.96,64,178,-0.16,2022
156,156,David Lipsky,92,35.8,63,176,-0.27,2022
157,157,Chase Seiffert,59,35.29,36,102,-0.06,2022
158,158,Ian Poulter,51,35.23,31,88,-0.26,2022
159,159,Nate Lashley,76,34.87,53,152,-0.19,2022
160,160,Camilo Villegas,75,34.78,48,138,-0.17,2022
161,161,Ben Kohles,69,34.13,43,126,-0.21,2022
162,162,Cameron Percy,50,34.09,30,88,-0.13,2022
163,163,J.J. Spaun,95,33.68,64,190,-0.17,2022
164,164,John Huh,80,33.11,49,148,-0.41,2022
165,165,Troy Merritt,93,32.76,57,174,-0.30,2022
166,166,Henrik Norlander,78,32.35,44,136,-0.20,2022
T167,T167,Christiaan Bezuidenhout,87,31.88,51,160,-0.16,2022
T167,T167,Kelly Kraft,75,31.88,44,138,-0.02,2022
169,169,Rory Sabbatini,55,31.82,35,110,-0.37,2022
170,170,Mark Hubbard,76,31.62,43,136,-0.23,2022
171,171,Brian Harman,94,30.77,56,182,-0.11,2022
172,172,Denny McCarthy,102,30.5,61,200,-0.16,2022
173,173,Adam Long,90,30.36,51,168,-0.27,2022
174,174,Jason Dufner,56,30.0,30,100,+0.03,2022
175,175,Max McGreevy,76,29.17,42,144,-0.10,2022
176,176,Ryan Armour,56,28.0,28,100,-0.29,2022
177,177,Patrick Reed,73,27.86,39,140,-0.15,2022
178,178,Matt Kuchar,71,27.46,39,142,-0.31,2022
179,179,Kevin Kisner,77,27.27,36,132,-0.19,2022
180,180,Pat Perez,62,26.72,31,116,-0.29,2022
181,181,Satoshi Kodaira,51,26.6,25,94,-0.12,2022
182,182,Luke Donald,67,26.12,35,134,-0.17,2022
183,183,Chad Ramey,79,24.66,36,146,-0.31,2022
184,184,Zach Johnson,64,24.22,31,128,-0.35,2022
185,185,Brandt Snedeker,61,23.73,28,118,-0.25,2022
186,186,Andrew Putnam,96,23.33,42,180,-0.26,2022
187,187,Austin Cook,75,23.19,32,138,-0.44,2022
188,188,Michael Thompson,88,22.02,37,168,-0.30,2022
189,189,Vaughn Taylor,57,21.7,23,106,-0.17,2022
190,190,Joshua Creel,53,19.15,18,94,E,2022
191,191,Chez Reavie,91,17.65,30,170,-0.07,2022
192,192,Brian Stuard,95,14.61,26,178,-0.23,2022
193,193,Brendon Todd,87,12.03,19,158,-0.37,2022
